Channel,Avg. Viewers,Time Streamed,All-Time Peak Viewers,Hours Watched,Followers Gained,Total Followers,Total Views
xQcOW,89542,333.7,222720,29880024,-2454132,5558385,331965084
tommyinnit,258561,10.9,650237,2822624,462438,5102244,44524063
auronplay,115660,87,313347,10066242,435339,8368359,129448575
RanbooLive,85632,145.9,346132,12496595,438160,2567938,33990085
GeorgeNotFound,168391,9.6,307439,1610944,157766,3335146,14148526
ludwig,44751,378.8,165293,16950354,404851,2677236,74834100
NICKMERCS,62912,190.8,371232,12003585,234063,5639133,172838779
summit1g,43413,324.8,310998,14102134,45354,5897921,446407471
Gaules,22695,718.8,387315,16311723,49647,2647808,273846782
karljacobs,130195,14.9,263353,1939900,46575,2437965,17819202
ibai,64202,129.6,533239,8320635,330573,5865922,184766746
loud_coringa,66758,136.6,141138,9115827,198325,1724821,17104267
RocketLeague,62925,145.8,214930,9172367,151228,3045705,231549882
AdinRoss,82227,71.6,254923,5886055,2006717,3040648,15574215
Tubbo,97571,31.3,332671,3055610,323174,3453289,43631312
Sapnap,110526,8.2,185312,903241,172574,2027162,7338828
ONEEsports,81342,48.9,173129,3976251,45090,146108,24782485
Rubius,55995,110.2,344676,6172561,255169,8920072,167494352
loltyler1,34889,251.4,368484,8769372,31947,4252279,235521609
Sykkuno,44834,166.3,104187,7454468,177941,3286412,54667495
Rainbow6,38628,211,191703,8149776,96867,1887971,77914379
juansguarnizo,33564,250.6,140500,8411680,418840,3891950,67600394
TimTheTatman,40773,177.9,347321,7251495,152900,6527429,242928320
dota2mc_ru,21713,365.1,238996,7927569,32957,577357,130286389
TheGrefg,38191,136,2470347,5194010,196592,7220398,136838315
Elraenn,49421,80.9,103108,3998199,60670,2226028,62844962
Fextralife,17025,249.7,69907,4251098,-17535,570162,1437723478
LEC,38645,128.4,400312,4961322,58308,1398272,113005795
Philza,48240,76.1,162626,3672685,300639,2680285,30964379
BLASTPremier,52371,56.7,208744,2969441,93983,948371,74932706
shroud,27289,217.7,516289,5941275,-260854,9057620,467979652
WilburSoot,72173,7.9,215211,568384,135610,2999151,13992138
LyonWGFLive,54645,51,76770,2786872,59807,421956,5239901
LCK,65091,17.7,212049,1149940,17773,1143787,110986502
ESL_CSGO,10518,719.2,562080,7563896,49971,4641569,601525128
Asmongold,36518,128.1,283753,4678575,22238,1944339,169957579
DreamLeague,41042,95.3,148635,3912629,33372,441715,112719936
LCK_Korea,57000,31.1,365983,1772695,12280,882615,254891743
MontanaBlack88,40580,91.1,194927,3697543,35146,3719908,108413422
HasanAbi,20061,320.2,226974,6424123,5904,1174630,62595855
QuackityToo,62906,10.8,140697,677548,207575,660630,1011985
Amouranth,11899,389.1,31545,4629802,386977,2572951,204576285
